1	愛読書の印象	1363
2	秋	12222
3	芥川竜之介歌集	2783
4	アグニの神	9242
5	アグニの神	9168
6	悪魔	2279
7	浅草公園	10693
8	兄貴のような心持	1435
9	あの頃の自分の事	17058
10	あばばばば	7268
11	鴉片	3398
12	或阿呆の一生	14175
13	或敵打の話	12363
14	或旧友へ送る手記	3896
15	或社会主義者	1865
16	或日の大石内蔵助	10919
17	或恋愛小説	5933
18	闇中問答	6822
19	案頭の書	5821
20	飯田蛇笏	1884
21	遺書	2420
22	イズムと云ふ語の意味次第	1250
23	一番気乗のする時	2591
24	一夕話	7427
25	伊東から	1224
26	糸女覚え書	7830
27	犬養君に就いて	667
28	犬と笛	9431
29	芋粥	16908
30	岩野泡鳴氏	912
31	魚河岸	3119
32	内田百間氏	895
33	産屋	1126
34	馬の脚	13867
35	海のほとり	7861
36	囈語	615
37	運	8597
38	永久に不愉快な二重生活	946
39	英雄の器	2270
40	江口渙氏の事	1723
41	槐	1226
42	老いたる素戔嗚尊	13518
43	往生絵巻	3948
44	鸚鵡	1940
45	大川の水	5003
46	大久保湖州	12370
47	Ｏ君の新秋	2396
48	尾形了斎覚え書	4945
49	おぎん	6922
50	お時儀	5057
51	おしの	5906
52	お富の貞操	9611
53	鬼ごつこ	909
54	お律と子等と	29615
55	温泉だより	7791
56	女	2765
57	開化の良人	19687
58	開化の殺人	10529
59	貝殻	6072
60	解嘲	4867
61	蛙	2102
62	格さんと食慾	970
63	影	12572
64	片恋	5290
65	かちかち山	1504
66	学校友だち	3991
67	河童	42950
68	河童	38383
69	南瓜	3893
70	神神の微笑	11247
71	「仮面」の人々	1083
72	鴨猟	1103
73	軽井沢で	1060
74	カルメン	2631
75	彼	6437
76	彼　第二	7065
77	枯野抄	9163
78	彼の長所十八	883
79	寒山拾得	1709
80	鑑定	1978
81	奇怪な再会	25723
82	機関車を見ながら	2559
83	奇遇	8073
84	「菊池寛全集」の序	2527
85	煙管	8101
86	木曽義仲論	34021
87	着物	1558
88	凶	1645
89	「鏡花全集」目録開口	2055
90	教訓談	953
91	京都日記	5107
92	きりしとほろ上人伝	14807
93	疑惑	14414
94	金将軍	4048
95	鵠沼雑記	2289
96	孔雀	741
97	首が落ちた話	9070
98	久保田万太郎氏	1710
99	久米正雄	1107
100	久米正雄氏の事	921
101	蜘蛛の糸	3679
102	クラリモンド	33457
103	軍艦金剛航海記	7103
104	芸術その他	4398
105	戯作三昧	24077
106	戯作三昧	23131
107	袈裟と盛遠	8777
108	結婚難並びに恋愛難	2015
109	「ケルトの薄明」より	4968
110	玄鶴山房	14225
111	講演軍記	997
112	剛才人と柔才人と	859
113	好色	12846
114	後世	1537
115	校正後に	2147
116	合理的、同時に多量の人間味	1867
